origin,destination,4_7,7_10,10_13,13_16,16_19,19_22,origin_id,destination_id
2200_transmilenio-troncal,2001_transmilenio-troncal,4.25,4.25,4.25,4.25,4.25,4.25,2200,2001
2200_transmilenio-troncal,2303_transmilenio-troncal,9.083333333333334,7.9,7.9,7.9,7.85,7.9,2200,2303
2200_transmilenio-troncal,2300_transmilenio-troncal,7.0,4.433333333333334,4.433333333333334,4.433333333333334,4.383333333333333,4.433333333333334,2200,2300
2200_transmilenio-troncal,2205_transmilenio-troncal,6.733333333333334,6.5166666666666675,6.5166666666666675,6.5166666666666675,6.466666666666667,6.5166666666666675,2200,2205
2200_transmilenio-troncal,2202_transmilenio-troncal,3.0,3.0,3.0,3.0,3.0,3.0,2200,2202
2200_transmilenio-troncal,2105_transmilenio-troncal,1.4166666666666667,1.4666666666666666,1.5,1.5,1.2,1.2,2200,2105
2200_transmilenio-troncal,2104_transmilenio-troncal,2.25,2.25,2.25,2.25,2.25,2.25,2200,2104
2200_transmilenio-troncal,2102_transmilenio-troncal,4.45,4.5,5.066666666666666,5.066666666666666,5.066666666666666,5.066666666666666,2200,2102
2200_transmilenio-troncal,2304_transmilenio-troncal,9.75,7.85,7.85,7.85,7.833333333333333,7.883333333333334,2200,2304
2200_transmilenio-troncal,2103_transmilenio-troncal,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,2200,2103
2200_transmilenio-troncal,2204_transmilenio-troncal,5.133333333333334,5.133333333333334,5.133333333333334,5.133333333333334,5.033333333333333,5.083333333333333,2200,2204
2200_transmilenio-troncal,2000_transmilenio-troncal,4.75,4.75,4.75,4.75,4.75,4.75,2200,2000
2200_transmilenio-troncal,2201_transmilenio-troncal,1.6333333333333333,1.6833333333333333,1.6833333333333333,1.6833333333333333,1.6333333333333333,1.6833333333333333,2200,2201
2200_transmilenio-troncal,2101_transmilenio-troncal,5.466666666666667,4.216666666666667,4.25,4.25,3.95,3.95,2200,2101
2200_transmilenio-troncal,2302_transmilenio-troncal,7.633333333333334,6.45,6.45,6.45,6.3999999999999995,6.45,2200,2302
2200_transmilenio-troncal,2502_transmilenio-troncal,6.75,6.75,6.75,6.75,6.75,6.75,2200,2502
2200_transmilenio-troncal,9116_transmilenio-troncal,17.35,15.45,15.45,15.45,15.399999999999999,15.45,2200,9116
2200_transmilenio-troncal,9110_transmilenio-troncal,20.1,18.95,18.966666666666665,18.966666666666665,18.95,19.0,2200,9110
2200_transmilenio-troncal,9111_transmilenio-troncal,20.333333333333332,19.066666666666663,19.18333333333333,19.18333333333333,18.9,19.216666666666665,2200,9111
2200_transmilenio-troncal,9113_transmilenio-troncal,17.85,16.666666666666664,16.666666666666664,16.666666666666664,16.616666666666667,16.666666666666664,2200,9113
2200_transmilenio-troncal,9114_transmilenio-troncal,18.03333333333333,16.666666666666664,16.78333333333333,16.78333333333333,16.599999999999998,16.816666666666666,2200,9114
2200_transmilenio-troncal,9117_transmilenio-troncal,14.883333333333333,13.35,13.35,13.35,13.333333333333332,13.383333333333333,2200,9117
2200_transmilenio-troncal,9119_transmilenio-troncal,13.883333333333333,12.7,12.7,12.7,12.649999999999999,12.7,2200,9119
2200_transmilenio-troncal,9120_transmilenio-troncal,10.383333333333333,9.2,9.2,9.2,9.149999999999999,9.2,2200,9120
2200_transmilenio-troncal,9122_transmilenio-troncal,12.466666666666667,11.649999999999999,11.649999999999999,11.649999999999999,11.499999999999998,11.649999999999999,2200,9122
2200_transmilenio-troncal,9123_transmilenio-troncal,10.966666666666667,10.583333333333334,10.6,10.6,10.583333333333332,10.633333333333333,2200,9123
2200_transmilenio-troncal,9121_transmilenio-troncal,11.883333333333333,10.7,10.7,10.7,10.649999999999999,10.7,2200,9121
2200_transmilenio-troncal,9118_transmilenio-troncal,12.883333333333333,11.35,11.35,11.35,11.333333333333332,11.383333333333333,2200,9118
2200_transmilenio-troncal,9115_transmilenio-troncal,16.28333333333333,14.916666666666666,17.2,17.2,17.15,17.2,2200,9115
2200_transmilenio-troncal,9109_transmilenio-troncal,20.28333333333333,18.916666666666664,20.28333333333333,20.28333333333333,20.233333333333334,20.28333333333333,2200,9109
2200_transmilenio-troncal,3003_transmilenio-troncal,21.633333333333336,19.866666666666667,25.15,25.15,23.383333333333333,25.05,2200,3003
2200_transmilenio-troncal,3004_transmilenio-troncal,22.78333333333333,21.316666666666666,23.45,23.45,21.683333333333334,23.35,2200,3004
2200_transmilenio-troncal,3007_transmilenio-troncal,18.266666666666666,16.566666666666666,19.633333333333333,19.633333333333333,18.233333333333334,19.533333333333335,2200,3007
